sample,Gene,Z-score,group,replicate
A_3,A0A0D5ZY64,-1.2323832557452288,Anterior,3
P_1,A0A0D5ZY64,-0.8875668660300136,Posterior,1
P_2,A0A0D5ZY64,2.128603082062871,Posterior,2
P_3,A0A0D5ZY64,0.2302504054366027,Posterior,3
S_1,A0A0D5ZY64,-0.8277911274694016,Somite,1
S_2,A0A0D5ZY64,0.1268714056715565,Somite,2
S_3,A0A0D5ZY64,0.5063725723085417,Somite,3
A_1,A0A0N4SVL0,0.1972523199296794,Anterior,1
A_2,A0A0N4SVL0,0.6919373567039153,Anterior,2
A_3,A0A0N4SVL0,1.3873957848834992,Anterior,3
P_1,A0A0N4SVL0,-1.4977503769794145,Posterior,1
P_2,A0A0N4SVL0,-1.948946156818388,Posterior,2
P_3,A0A0N4SVL0,0.2679795940496234,Posterior,3
S_1,A0A0N4SVL0,0.1077398606485674,Somite,1
S_2,A0A0N4SVL0,0.1554832962832059,Somite,2
S_3,A0A0N4SVL0,0.6389083212994241,Somite,3
A_1,A0A140T8K6,1.4866292998973056,Anterior,1
A_2,A0A140T8K6,-0.0861043588202547,Anterior,2
A_3,A0A140T8K6,-0.9336183258512362,Anterior,3
P_1,A0A140T8K6,1.9089124326979816,Posterior,1
P_2,A0A140T8K6,0.1815505208138401,Posterior,2
P_3,A0A140T8K6,-0.2231772583883244,Posterior,3
S_1,A0A140T8K6,-0.2834798965075673,Somite,1
S_2,A0A140T8K6,-1.0020187277512518,Somite,2
S_3,A0A140T8K6,-1.048693686090998,Somite,3
A_1,A0A140T8M7,0.6381251230033417,Anterior,1
A_2,A0A140T8M7,-0.0800402529302974,Anterior,2
A_3,A0A140T8M7,-1.6583155412350794,Anterior,3
P_1,A0A140T8M7,2.011146612692604,Posterior,1
P_2,A0A140T8M7,0.8857974346138383,Posterior,2
P_3,A0A140T8M7,-0.37260767166762,Posterior,3
S_1,A0A140T8M7,-0.2561548072459889,Somite,1
S_2,A0A140T8M7,-0.8294599151868614,Somite,2
S_3,A0A140T8M7,-0.3384909820439096,Somite,3
A_1,A0A140T8V1,-1.4419581127773302,Anterior,1
A_2,A0A140T8V1,0.4704153717340834,Anterior,2
A_3,A0A140T8V1,-0.2477926103261931,Anterior,3
P_1,A0A140T8V1,0.2022639376501699,Posterior,1
P_2,A0A140T8V1,1.9555152222765877,Posterior,2
P_3,A0A140T8V1,0.8469965665723884,Posterior,3
S_1,A0A140T8V1,-1.0390405145343558,Somite,1
S_2,A0A140T8V1,0.2173717273751536,Somite,2
S_3,A0A140T8V1,-0.96377158797049,Somite,3
A_1,A0A140T8V3,0.4374482883403108,Anterior,1
A_2,A0A140T8V3,0.9604204044722124,Anterior,2
A_3,A0A140T8V3,-0.8036188376151217,Anterior,3
P_1,A0A140T8V3,-0.6151231587459288,Posterior,1
P_2,A0A140T8V3,-2.0729981279593077,Posterior,2
P_3,A0A140T8V3,-0.2794841724696405,Posterior,3
S_1,A0A140T8V3,0.1539653155777505,Somite,1
S_2,A0A140T8V3,1.1038934461717074,Somite,2
S_3,A0A140T8V3,1.115496842227928,Somite,3
A_1,A0A1B0GRB2,-0.3155111129281713,Anterior,1
A_2,A0A1B0GRB2,0.5932970848818373,Anterior,2
A_3,A0A1B0GRB2,1.2531421891631431,Anterior,3
P_1,A0A1B0GRB2,-1.3022406874799914,Posterior,1
P_2,A0A1B0GRB2,-1.5844743751548651,Posterior,2
P_3,A0A1B0GRB2,-0.800326686889346,Posterior,3
S_1,A0A1B0GRB2,0.3286692820147294,Somite,1
S_2,A0A1B0GRB2,1.3340633584138286,Somite,2
S_3,A0A1B0GRB2,0.4933809479787859,Somite,3
A_1,A0A1L1SRT0,-0.3586926995772331,Anterior,1
A_2,A0A1L1SRT0,-0.8292163102043169,Anterior,2
A_3,A0A1L1SRT0,-0.8522461651140681,Anterior,3
P_1,A0A1L1SRT0,-1.35764641642839,Posterior,1
P_2,A0A1L1SRT0,-0.0651110204549287,Posterior,2
P_3,A0A1L1SRT0,-0.252461436041617,Posterior,3
S_1,A0A1L1SRT0,1.6717489376856656,Somite,1
S_2,A0A1L1SRT0,0.4459262761654228,Somite,2
S_3,A0A1L1SRT0,1.5976988339696134,Somite,3
A_1,A0JLQ7,-1.1523575712114231,Anterior,1
A_2,A0JLQ7,0.7384402179197026,Anterior,2
A_3,A0JLQ7,0.7963849856451042,Anterior,3
P_1,A0JLQ7,0.7905169688416458,Posterior,1
P_2,A0JLQ7,-1.244227372592419,Posterior,2
P_3,A0JLQ7,0.7858674856729041,Posterior,3
S_1,A0JLQ7,-1.7481515523970277,Somite,1
S_2,A0JLQ7,0.2803106999077813,Somite,2
S_3,A0JLQ7,0.7532161382139018,Somite,3
A_1,A1bg,-1.1338483815821423,Anterior,1
A_2,A1bg,0.8310605012113174,Anterior,2
A_3,A1bg,0.0653792545295629,Anterior,3
P_1,A1bg,-1.5791336612291076,Posterior,1
P_2,A1bg,1.6160450053530189,Posterior,2
